Name,Class,Roll No,Course,Sub1,Sub2,Sub3,Sub4,Sub5
Jennifer Lewis,12,707,Graphic Design,57,35,64,81,64
Timothy Valdez,8,629,Graphic Design,21,68,90,68,96
Victor Ward,6,615,Python Programming,93,64,92,96,61
Terry Olsen,8,613,Data Science,64,16,50,97,33
Julia Ramos,1,613,Graphic Design,7,36,51,20,38
Adam Ward,9,749,Data Science,39,86,24,94,45
Jamie Hansen,6,440,Python Programming,35,49,39,88,99
Melissa Fowler,4,85,Graphic Design,80,7,31,15,35
Thomas Lin,1,525,Python Programming,20,83,45,23,53
Cynthia Williams,11,424,Web Development,80,55,80,23,79
Nathan Burnett,7,646,Graphic Design,87,40,62,80,22
Michelle Vaughn,12,845,Video Production,77,17,46,81,27
David Welch,9,519,Video Production,55,57,44,50,30
Mr. Peter Kim,6,627,Web Development,100,48,79,77,81
Christopher Barnes,1,201,Python Programming,12,17,97,62,35
Alexandra Hester,6,382,Graphic Design,46,4,93,57,54
Daniel Porter,5,13,Data Science,92,1,66,50,49
Bryan Deleon,1,56,Python Programming,14,0,77,56,32
Jennifer Smith,1,169,Video Production,78,55,44,85,66
James Franklin,1,298,Graphic Design,89,86,31,21,19
Juan Jackson Jr.,6,338,Python Programming,43,31,96,64,89
Yvette Alvarez,3,792,Graphic Design,23,42,57,61,80
Samuel Sanford,8,904,Data Science,11,15,4,36,77
Adam Bailey,12,589,Video Production,74,98,57,53,55
Cassandra White,1,529,Graphic Design,53,66,69,22,22
James Williams,10,649,Video Production,95,46,57,8,3
Timothy Trujillo,8,599,Graphic Design,72,72,22,0,40
Micheal Perkins,10,917,Video Production,38,89,79,43,87
April Bishop,7,527,Video Production,52,32,53,53,51
Kelly Gomez,9,681,Web Development,66,77,36,75,69
Julie Duarte,6,918,Data Science,11,50,69,29,77
Troy Cooper,9,796,Video Production,36,68,80,97,69
John Parks,5,579,Data Science,53,10,53,83,12
Richard Merritt,1,500,Python Programming,41,48,34,18,72
Rebecca Gonzalez DDS,3,996,Python Programming,96,18,44,71,22
Justin Mitchell,8,864,Graphic Design,50,12,51,70,38
Jose Welch,1,691,Web Development,0,92,70,12,43
Misty Mcmahon,8,390,Web Development,22,99,98,77,42
Jessica Johnson,9,534,Data Science,34,1,24,51,6
Heather Allen,5,255,Video Production,50,96,57,21,32
Jamie Holt,7,966,Video Production,3,12,74,9,41
Nichole Bradley,10,235,Web Development,12,87,10,97,24
Jerry Davis,12,189,Python Programming,30,20,99,93,46
Elaine Navarro,3,181,Graphic Design,84,46,26,64,48
William Hill,12,518,Video Production,7,98,70,7,41
Derek Lopez,5,837,Data Science,30,92,54,57,82
Robert Zhang,10,374,Data Science,47,24,99,8,75
James Rogers,11,992,Graphic Design,75,53,92,61,77
Rhonda Cain,12,581,Video Production,37,87,97,14,12
Rhonda Moody,11,988,Web Development,34,74,23,7,67
Samantha Freeman,8,968,Web Development,48,87,19,56,42
Keith Olson,12,517,Video Production,93,80,4,98,49
Linda Becker,1,428,Python Programming,10,55,91,89,4
Jennifer Johnson,3,561,Python Programming,90,19,100,66,59
James Russell,1,353,Python Programming,35,51,95,24,39
Natalie Sosa,12,411,Data Science,25,77,20,4,3
Shannon Davis,8,510,Python Programming,51,65,37,60,33
Barbara Acosta,1,469,Data Science,47,39,23,50,73
Michelle Nichols,1,875,Web Development,19,48,59,89,58
Patrick Dennis,5,889,Data Science,8,42,80,60,11
Renee Paul,6,375,Graphic Design,50,22,36,91,5
Shawn Harper,7,681,Python Programming,10,9,17,36,94
Richard Stewart,8,558,Python Programming,90,16,53,31,49
Tina Scott,11,108,Graphic Design,57,3,20,66,12
John Sawyer,8,606,Video Production,59,50,16,80,7
Cheryl Stout,6,388,Video Production,17,62,71,14,59
Joe Price,1,822,Graphic Design,74,61,76,67,89
Kevin Brown Jr.,12,519,Python Programming,23,45,83,76,62
Kyle Farrell,6,97,Python Programming,7,37,7,58,100
Gabriel Johnson,1,512,Web Development,96,69,65,43,99
Karen Lee,3,630,Video Production,55,56,91,52,79
Kevin White,11,118,Graphic Design,49,69,52,58,100
Beth Powell,6,457,Web Development,77,6,46,83,7
Shelby Grant,8,440,Video Production,43,9,35,94,44
Richard Schultz,1,945,Graphic Design,32,81,38,30,39
Lori Gentry,10,969,Graphic Design,73,84,61,98,0
Julie Cook,4,9,Video Production,97,57,59,73,31
Keith Liu,9,299,Data Science,62,68,65,95,53
Sandra Fields,12,732,Graphic Design,20,60,46,26,68
Melanie Mayer,6,713,Video Production,40,27,70,39,92
Veronica Pace,4,273,Python Programming,89,29,100,4,14
Douglas Krause,6,759,Video Production,9,96,55,24,17
Robert Clark,10,750,Video Production,78,79,85,45,47
Justin Davis,9,990,Data Science,68,63,42,81,36
Alison Russell,4,676,Python Programming,36,75,72,61,45
Zachary Pratt,11,234,Video Production,43,83,28,15,61
Jennifer Garza,5,545,Web Development,63,42,31,46,10
Michael Wells,10,701,Web Development,67,31,37,43,89
Jacob Spencer,11,638,Python Programming,7,93,78,34,82
Kathleen Hayes,8,717,Graphic Design,22,33,21,43,34
Jason Carter,12,162,Data Science,34,27,83,98,80
Joshua Douglas,11,702,Data Science,26,69,84,92,48
Anne Brooks,12,372,Web Development,8,90,56,35,96
Paul Smith,12,487,Video Production,58,51,8,54,45
Michael Garcia,10,560,Video Production,33,80,87,80,34
Mckenzie Torres,10,266,Data Science,60,24,56,83,20
Taylor Norris,6,570,Graphic Design,10,1,88,20,51
Sherry Mclaughlin,11,95,Python Programming,3,5,94,52,50
Kirk Wilkerson,7,69,Web Development,72,76,50,95,16
Brandon Barrett,9,78,Web Development,49,76,54,95,79
Christopher Clements,4,511,Video Production,32,73,53,65,9
Mr. Michael Molina DVM,7,957,Video Production,0,70,2,10,53
Jacob Grimes,5,979,Web Development,50,18,26,34,48
Patricia Sanchez,8,8,Data Science,39,55,57,74,81
Valerie Mercado,5,91,Video Production,23,14,5,21,8
Amy Sanchez,12,413,Python Programming,22,91,73,67,23
Tammy Fox,2,813,Video Production,77,0,29,17,86
Leslie Johnston PhD,6,642,Video Production,84,80,80,30,40
Brandon Jenkins,6,248,Python Programming,67,6,31,2,37
Jason Jordan,11,332,Video Production,28,98,85,56,0
Ann Franklin,9,179,Video Production,52,65,4,46,48
Craig Wagner,2,300,Python Programming,45,14,33,96,5
Susan Shaw,7,112,Video Production,49,63,27,70,72
James Smith,3,633,Python Programming,72,60,31,41,93
Angela Smith,10,32,Video Production,30,44,23,95,60
Sean Ware,9,267,Python Programming,65,48,45,12,43
Morgan Robinson,9,570,Python Programming,91,6,98,39,66
Dawn Greene,11,907,Graphic Design,52,94,8,63,50
Shari Price,11,1,Web Development,42,44,32,43,76
Lori Perkins,6,702,Python Programming,94,38,4,83,98
Brandon White,9,743,Graphic Design,47,80,86,51,85
Stephen English,12,155,Graphic Design,53,1,47,98,65
Ryan Garza,12,434,Web Development,9,38,21,96,75
Richard Avila,4,135,Web Development,33,57,52,9,36
Alexander Morris,9,937,Data Science,90,29,61,38,66
Scott Smith,9,49,Python Programming,85,19,12,42,86
Rachel Rice,5,967,Data Science,98,91,10,7,68
Lacey Barnett,10,253,Video Production,43,38,93,2,8
Elizabeth Lawrence,10,793,Python Programming,7,63,30,63,87
Jason Morales,7,831,Graphic Design,48,47,94,20,32
Mary Jackson,2,719,Video Production,62,79,40,80,37
Kevin Lopez,10,464,Web Development,36,82,56,37,11
Nicole Moore,12,664,Data Science,22,64,10,98,57
Jonathan Randolph,12,589,Video Production,99,83,97,2,13
John Powers,7,333,Data Science,32,16,55,52,24
Stacy Weber,7,881,Data Science,86,100,63,79,4
Nicole Smith,8,353,Data Science,35,12,5,33,59
Barbara Wright,10,344,Video Production,53,100,6,61,53
Lori Nolan,4,391,Data Science,56,14,82,53,39
Sean Robinson,4,538,Web Development,23,62,11,48,40
Jennifer Holt,1,474,Video Production,41,36,26,72,4
Paula Reynolds,6,424,Video Production,23,87,55,23,99
Jessica Jennings,11,696,Python Programming,7,4,91,76,11
Jessica Hamilton,10,569,Web Development,34,33,43,85,27
Barbara Leonard,2,250,Graphic Design,77,80,32,13,53
Lori Hogan,6,218,Graphic Design,6,84,2,66,55
Jennifer Johnson,4,398,Graphic Design,76,83,51,89,25
Chad Perez,10,29,Video Production,30,20,74,15,41
Jasmine Wilkerson,8,779,Graphic Design,74,42,63,6,12
Teresa Braun,3,969,Graphic Design,12,44,33,77,56
Veronica Melton,2,790,Video Production,89,20,35,85,29
Catherine Thompson,4,415,Python Programming,77,76,77,92,3
Laura Armstrong MD,10,954,Graphic Design,34,49,23,86,82
Michael Whitaker,10,959,Data Science,81,99,21,66,69
Cody Everett,9,32,Web Development,25,85,55,20,97
Sarah Bishop,4,602,Python Programming,83,95,15,10,24
Brittany Hardin,8,981,Video Production,72,41,68,75,48
Samantha Reed,12,530,Data Science,71,42,6,74,79
Michelle Krause,6,272,Python Programming,56,66,23,67,72
Kenneth Neal,6,822,Graphic Design,42,93,81,87,35
Scott Flores,1,50,Data Science,26,77,24,64,60
Jonathan Peterson,9,232,Web Development,54,37,95,50,64
Melissa Shaw,2,78,Video Production,10,10,60,46,84
Deborah Cisneros,6,755,Graphic Design,82,65,53,28,72
Michael Mccall,2,507,Graphic Design,86,9,51,15,13
Edward Jackson,1,759,Graphic Design,24,67,16,65,30
Natalie Miller,10,766,Graphic Design,7,19,51,11,2
Christina Burton,12,156,Video Production,74,19,37,48,92
Darlene Zimmerman MD,10,340,Data Science,66,4,11,17,62
Terri Duncan,4,434,Web Development,75,52,64,74,26
Steven Potter,2,704,Data Science,30,83,1,4,17
Julie Hernandez,5,65,Python Programming,99,59,9,92,85
Sherri Ray,3,704,Python Programming,66,76,50,77,93
Steven Butler MD,1,90,Python Programming,1,25,97,51,30
Deborah Waters,5,792,Web Development,75,31,79,66,51
Vincent Abbott,12,328,Graphic Design,5,99,13,69,3
John Yang,6,139,Python Programming,9,86,5,99,17
Daniel Clark,5,356,Video Production,96,9,30,22,47
Lucas Russell,1,252,Python Programming,83,55,0,99,75
Aaron Clark,7,431,Web Development,39,61,15,75,93
Frank Perez,11,551,Graphic Design,63,5,88,47,84
Walter Lopez,2,340,Video Production,30,29,12,82,24
Kathryn Garcia,1,862,Python Programming,0,10,46,43,32
Amy Taylor,11,352,Python Programming,35,18,89,21,19
Caitlin Henry,6,678,Data Science,55,93,0,79,13
Daniel Ball,8,975,Data Science,53,8,41,3,24
Kim Fields,12,828,Python Programming,30,50,66,56,34
Dr. Pamela Estrada,5,928,Web Development,60,50,79,4,8
Jodi Hall,3,347,Web Development,81,87,82,54,98
Nancy Hale,7,834,Video Production,73,25,86,20,2
Jacob Howard,3,33,Graphic Design,3,79,37,34,82
James Hughes,8,112,Graphic Design,76,87,86,62,88
Karen Davis,11,216,Data Science,22,45,79,59,12
Candace Myers,6,590,Graphic Design,92,8,24,33,89
Amanda Martin,11,524,Python Programming,86,35,36,41,49
Julie Smith,4,442,Python Programming,80,24,16,83,39
Gary Stevenson,7,880,Data Science,50,12,2,60,63
Damon Jordan,10,917,Data Science,68,15,100,73,49
Barbara Hayden,3,709,Graphic Design,76,14,92,53,72
Dustin Bowman,12,101,Python Programming,72,39,43,92,61
Rachel Torres,1,532,Data Science,98,100,12,55,37
Victoria James,12,715,Video Production,51,89,47,79,77
Zachary Larson,10,540,Video Production,26,80,48,30,29
Bobby Lynch,3,220,Graphic Design,22,48,38,67,14
Joshua Rodriguez,8,418,Web Development,88,16,83,56,12
Eric Scott Jr.,8,847,Data Science,14,49,29,20,91
Nicholas Wright,5,570,Python Programming,15,93,79,94,40
Gina Camacho,12,296,Graphic Design,52,90,34,97,68
Karen Thomas,11,407,Python Programming,98,43,63,61,5
Elizabeth Baker,10,274,Data Science,81,73,14,65,21
Randy Williams,6,609,Video Production,31,0,3,51,21
Ronald Gilbert,5,511,Graphic Design,45,97,56,32,77
Dominique Patel,4,605,Python Programming,41,49,4,21,27
Gloria Smith,10,46,Graphic Design,35,85,88,91,78
Eric Armstrong,8,645,Graphic Design,14,20,18,43,30
Mary Palmer,4,123,Data Science,20,75,59,50,39
William Tucker,6,397,Python Programming,21,91,24,77,44
Heather Bradley,6,979,Graphic Design,60,45,57,4,81
Patricia Horton,7,646,Data Science,90,48,8,100,82
Kristopher Guerrero,8,536,Graphic Design,36,17,69,28,80
Michael Miller,2,614,Graphic Design,21,82,12,70,79
Danny Romero,9,397,Web Development,28,22,53,0,35
Joshua Andrade,11,751,Graphic Design,90,11,78,72,48
Kayla Henson,12,396,Web Development,96,9,73,65,67
Tyler Lawson,4,584,Python Programming,9,83,29,75,28
Stephanie Forbes,12,750,Python Programming,6,6,45,30,74
Katie Wagner,9,626,Graphic Design,2,70,24,53,40
Patrick Mills,12,700,Video Production,46,44,15,76,11
Richard Thomas,8,620,Web Development,75,28,55,40,43
Tom Morrison,11,552,Python Programming,3,6,28,33,5
Aaron Martin,10,196,Graphic Design,89,60,55,81,77
Catherine Stewart,7,741,Video Production,6,55,93,48,30
Sara Munoz,3,337,Python Programming,54,16,87,63,69
Mrs. Connie Lopez,4,78,Python Programming,62,8,15,20,100
William Tran,8,797,Graphic Design,59,1,66,52,66
Shari Andrade,6,617,Python Programming,55,23,97,100,60
Leroy Ryan,4,385,Video Production,65,28,75,29,82
Morgan Hill,1,530,Data Science,12,40,81,6,79
Jaime Horne,5,11,Python Programming,79,58,90,59,95
Paul Washington,2,682,Video Production,79,80,25,15,46
Paige Thomas,5,822,Graphic Design,94,77,88,9,1
Joseph Smith,11,954,Graphic Design,32,56,48,27,40
Kimberly Lopez,10,774,Python Programming,25,96,98,58,99
Elizabeth Martin,12,403,Data Science,23,97,84,64,49
Elijah Huang,2,401,Data Science,62,35,78,76,27
Frank Fletcher,6,598,Video Production,92,61,17,4,95
Katherine Goodwin,9,182,Data Science,44,35,88,94,24
Jason Roy,7,337,Graphic Design,41,65,29,95,1
Elizabeth Peters,12,423,Graphic Design,73,8,85,50,73
Susan Weiss,5,128,Python Programming,38,49,67,48,62
Kristi Williams,3,832,Video Production,3,64,24,99,99
Janet Schultz,10,524,Graphic Design,51,88,63,87,31
Russell Adams,3,235,Data Science,70,46,57,65,54
Patricia Hall,7,392,Web Development,76,85,24,0,32
Emily Cohen,4,240,Graphic Design,94,94,100,3,98
Bradley Adams,7,498,Video Production,30,70,32,8,66
Christina Levy,8,178,Video Production,0,32,68,56,20
Stuart Prince,8,498,Data Science,89,56,5,11,84
Robert Trujillo,8,365,Video Production,7,23,6,63,66
Jack Lopez,5,399,Data Science,56,37,82,4,35
Alexander Hancock,10,896,Python Programming,88,82,65,70,9
Beth Mcdonald,8,37,Web Development,24,24,74,75,69
Mary Gibbs DDS,2,486,Data Science,94,69,56,35,97
Derek Rodriguez,5,136,Python Programming,27,41,94,49,85
Emily Rice,5,512,Data Science,31,44,5,29,21
Kevin Clark,9,547,Video Production,27,60,89,18,5
Mark Graham,1,288,Web Development,80,29,52,54,27
Jerry Gibson,12,515,Web Development,99,40,98,59,89
Dawn Harris,2,662,Python Programming,29,10,25,49,98
Paul Murray,6,309,Data Science,12,81,12,48,10
Charles Crosby,5,133,Data Science,7,34,30,95,27
Megan Mosley,1,672,Video Production,100,10,79,18,72
David Acevedo,9,758,Graphic Design,90,51,61,43,23
Justin Johnson,3,273,Web Development,76,10,71,82,56
Cody Navarro,10,297,Python Programming,44,19,22,59,82
Zachary Haynes,9,746,Web Development,13,51,26,34,12
Heather Cochran,8,328,Web Development,22,44,45,99,69
Carlos Preston,12,388,Python Programming,50,30,86,39,0
Ashley Chandler,7,614,Video Production,50,44,84,16,50
Amber Roberts,12,622,Python Programming,42,94,14,70,57
Elizabeth Miranda,12,766,Video Production,81,30,14,68,42
Luke Roberts,10,828,Video Production,85,78,86,47,88
Karen Smith,1,905,Graphic Design,98,3,40,51,64
Lori Lopez MD,12,416,Python Programming,38,32,55,94,75
Jonathan Harrison,11,948,Data Science,42,100,29,75,95
Theresa Park,1,520,Web Development,7,5,91,22,74
Allison Huffman,3,374,Data Science,74,32,25,41,39
Chris Farrell,5,440,Graphic Design,41,61,15,15,58
Kaitlyn Wilson,12,843,Data Science,78,29,79,61,74
Gina Gibson,1,206,Graphic Design,8,95,80,15,82
Christopher Ramos,6,551,Python Programming,98,26,60,75,11
Crystal Garcia,5,712,Data Science,98,41,62,100,11
Cheryl Turner,3,972,Graphic Design,25,17,61,5,60
Debra Hunter,9,818,Graphic Design,95,44,83,86,19
Andrea Conway,8,703,Python Programming,66,2,50,74,53
Amy Khan,9,624,Web Development,71,74,6,97,37
Tiffany Floyd,7,572,Data Science,85,6,66,18,38
Jessica Lam,6,18,Python Programming,90,16,83,95,24
Richard Cline,4,108,Web Development,57,63,88,10,34
Eric Jenkins,10,788,Video Production,71,65,84,30,61
Amber Schmidt,9,436,Data Science,67,0,40,37,48
Michael Whitehead,3,110,Graphic Design,37,49,95,78,72
Mr. Devin Ellison DDS,5,274,Data Science,44,82,8,67,95
Gary Walsh,7,151,Graphic Design,20,82,97,41,82
Stephanie Blackburn,11,613,Graphic Design,64,20,51,12,63
William Gray,11,643,Graphic Design,44,13,12,37,35
Tina Romero,11,996,Video Production,75,92,7,49,1
Mary Weber,1,143,Data Science,45,63,78,88,99
Noah Burns,7,74,Data Science,61,82,18,62,88
Tina Rodriguez,4,590,Video Production,80,4,18,35,67
Justin Warren,1,93,Data Science,35,49,86,77,96
Alexander Webster,3,662,Web Development,26,13,75,55,8
Jason Johnson DDS,5,960,Graphic Design,14,27,99,86,82
Holly Coleman,6,635,Data Science,31,1,79,4,36
Paula Parker,8,221,Web Development,21,49,27,4,28
Judy Allen,5,337,Data Science,76,4,23,53,66
Vincent Fleming,8,331,Python Programming,27,57,50,62,69
Dana Robbins,11,308,Web Development,60,46,11,45,73
Samuel Powell,12,33,Python Programming,26,22,3,19,13
Joseph Lewis,3,404,Python Programming,52,96,92,78,23
Nicole Sims,7,911,Graphic Design,40,72,83,41,82
Nicholas Martinez,8,732,Web Development,63,64,78,44,39
Heidi Flores,2,604,Graphic Design,1,8,53,60,14
James Lewis,12,43,Python Programming,38,16,59,68,81
Rebecca Walton,3,403,Video Production,53,78,24,18,47
Bruce White,6,722,Data Science,38,67,90,34,19
Anne Young,3,464,Python Programming,54,56,55,20,13
Jason Newman,6,261,Data Science,38,94,55,10,44
Kelsey Sullivan,8,982,Video Production,75,46,73,40,95
Abigail Jones,10,685,Web Development,0,17,90,45,26
Kelly Howe,10,240,Web Development,99,97,47,39,59
Randall Simpson,6,138,Data Science,94,92,28,83,59
Rebecca Horn MD,8,901,Graphic Design,5,51,55,64,20
Alan Richard,10,552,Video Production,40,77,62,48,3
Dennis Jacobs,6,681,Python Programming,44,22,96,94,22
Patricia Cook,9,458,Graphic Design,94,95,81,19,78
Monica Gibbs,3,495,Video Production,87,100,37,14,14
Jeremy Jensen,9,685,Graphic Design,65,30,51,55,28
Maria Hernandez,9,374,Video Production,15,23,42,49,75
Tina Miles,4,609,Graphic Design,33,35,9,86,16
Michael Juarez,1,223,Graphic Design,4,100,28,14,11
Linda Quinn,1,619,Graphic Design,31,31,71,22,11
Teresa Hardin,8,562,Video Production,31,31,65,57,19
Earl Bennett,4,433,Video Production,81,79,34,14,39
Joseph Riddle,11,795,Web Development,97,50,9,92,8
Chelsea Murphy,10,50,Web Development,32,17,45,96,36
Karen Martin,10,718,Data Science,4,45,92,94,73
Angela Hamilton,4,516,Python Programming,89,22,34,33,7
Adam Huff,1,980,Graphic Design,33,39,36,29,59
Jamie Wall,8,655,Python Programming,22,44,42,41,76
Brenda Davis,6,119,Video Production,79,82,70,85,84
Amanda Tate,4,252,Python Programming,28,61,10,48,85
Jonathan Woods,12,961,Video Production,51,80,28,77,15
Steven Goodwin,1,322,Data Science,39,85,51,3,40
Sean Davis,10,821,Video Production,91,71,40,17,26
Nancy Wagner,4,424,Video Production,76,70,59,15,51
Angela Randall,2,354,Video Production,63,0,29,77,38
Stephanie Mcgrath,12,550,Video Production,51,15,92,60,46
Deborah Miranda,3,466,Graphic Design,59,8,96,40,99
Shannon Bell,4,53,Graphic Design,67,93,0,25,63
Frank Thompson,9,267,Graphic Design,86,5,5,9,39
Ryan Andrade,5,870,Graphic Design,10,3,97,70,63
Heather Jones,6,516,Data Science,55,68,99,87,51
Erin Cooper,1,782,Video Production,72,12,100,14,7
